id,text,created_at,like_count,retweet_count,reply_count,quote_count
1928920634249142452,Congratulations PSG...what a game/joy to watch !? You did Fans and Partners Proud. :):),2025-05-31 21:04:51+00:00,13284,1945,860,177
1914396776976752753,"We are saddened by the passing of His Holiness Pope Francis, a moral voice of compassion, humility, and global solidarity. 

His leadership was marked by an honest recognition of the Church’s history in Rwanda, leading to a new era of fruitful relations between the Catholic",2025-04-21 19:12:14+00:00,5533,1195,373,22
1912614411958727044,M.Arteta &amp; All Arsenal Team done us/fans &amp; partners proud. You deserve everything....Congrats.,2025-04-16 21:09:45+00:00,36246,5927,1529,361
1910033208688750890,Good partners PSG rooting for you tonight. Put this one in the bag :). Bless,2025-04-09 18:12:58+00:00,9400,1070,635,93
1909712783291150384,Here Gunners we Go. Big victory and game. Alwz had faith....Congrats. :):).,2025-04-08 20:59:42+00:00,28429,4280,1613,387
1906406574605693203,"#EidMubarak to all Muslims in Rwanda and around the world celebrating Eid al-Fitr. May this joyous occasion bring you and your loved ones peace, happiness, and prosperity. Let us continue to uphold the values of compassion, unity, and generosity that define this celebration.",2025-03-30 18:02:01+00:00,5776,965,393,33
1905298504395747833,I had a productive call with President Bassirou Diomaye Faye @PR_Diomaye. We discussed the progress made in advancing peace in the region through the EAC-SADC process and the positive contributions from beyond the region. We also exchanged on the strong and mutually beneficial,2025-03-27 16:38:56+00:00,4197,926,512,35
1891219459978756406,"My congratulations to our new AUC Chairperson Mahmoud Ali Youssouf @ymahmoudali who emerged victorious from among a distinguished group of Eastern African leaders, all of whom did Africa proud. I also congratulate Selma Malika Haddadi on her election as AUC Deputy Chairperson. I",2025-02-16 20:13:51+00:00,6439,1166,972,45
1887218765294633459,"Had a fruitful conversation with President of the EU Council António Costa @eucopresident, where we discussed the situation in DRC and agreed on the need for effective de-escalation and a resolution to the conflict that prioritizes political dialogue and ensures lasting peace.",2025-02-05 19:16:31+00:00,4505,997,1114,118
1886124104412963260,#ARSENAL /Gunners -Congrats. Let's GO!,2025-02-02 18:46:43+00:00,25359,3858,1898,709
